,Modname,strain,crit_tau,numbgrains,grain_durchmesser,max_fip_ferr,max_fip_mart,max_stress
0,DisTest_Seed71034_Strain0p3_NumberOfCells214,0.3,211.5,214,6.161822382742208e-06,0.008688767440617085,0.011751742102205753,267.95220947265625
1,DisTest_Seed71034_Strain0p6_NumberOfCells6,0.6,52.4,6,2.028289845615708e-05,0.09852349013090134,0.055542103946208954,660.2581176757812
2,DisTest_Seed36003_Strain0p6_NumberOfCells688,0.6,287.7,688,4.174946877111681e-06,0.041508741676807404,0.04610937088727951,830.1295166015625
3,DisTest_Seed256091_Strain0p6_NumberOfCells688,0.6,287.7,688,4.174946877111681e-06,0.037936728447675705,0.03820212930440903,855.3548583984375
4,DisTest_Seed256091_Strain0p6_NumberOfCells214,0.6,211.5,214,6.161822382742208e-06,0.053881097584962845,0.04522234946489334,880.3173828125
5,DisTest_Seed36003_Strain0p9_NumberOfCells85,0.9,160.9,85,8.382510857855288e-06,0.1771572232246399,0.11573129892349243,1083.7108154296875
6,DisTest_Seed256091_Strain0p9_NumberOfCells85,0.9,160.9,85,8.382510857855288e-06,0.16456641256809235,0.16495318710803986,1042.1353759765625
7,DisTest_Seed256091_Strain0p9_NumberOfCells6,0.9,52.4,6,2.028289845615708e-05,0.22232331335544586,0.16307848691940308,979.5048828125
8,DisTest_Seed61442_Strain0p6_NumberOfCells6,0.6,52.4,6,2.028289845615708e-05,0.11170411854982376,0.05865458399057388,682.2098999023438
9,DisTest_Seed36003_Strain0p3_NumberOfCells46,0.3,131.4,46,1.0286346650611695e-05,0.020901978015899658,0.012675541453063488,256.6845397949219
10,DisTest_Seed61442_Strain0p9_NumberOfCells688,0.9,287.7,688,4.174946877111681e-06,0.10242514312267303,0.11505739390850067,1338.855224609375
11,DisTest_Seed36003_Strain0p9_NumberOfCells214,0.9,211.5,214,6.161822382742208e-06,0.15407733619213104,0.16523247957229614,1139.223388671875
12,DisTest_Seed783331_Strain0p9_NumberOfCells46,0.9,131.4,46,1.0286346650611695e-05,0.18054009974002838,0.11226849257946014,963.6820678710938
13,DisTest_Seed256091_Strain0p3_NumberOfCells46,0.3,131.4,46,1.0286346650611695e-05,0.016485998407006264,0.009848270565271378,269.4220886230469
14,DisTest_Seed256091_Strain0p6_NumberOfCells85,0.6,160.9,85,8.382510857855288e-06,0.07324627786874771,0.04910794645547867,751.6262817382812
15,DisTest_Seed71034_Strain0p3_NumberOfCells46,0.3,131.4,46,1.0286346650611695e-05,0.01733386144042015,0.012673025950789452,357.22247314453125
16,DisTest_Seed61442_Strain0p9_NumberOfCells85,0.9,160.9,85,8.382510857855288e-06,0.14704491198062897,0.11208715289831161,1059.6087646484375
17,DisTest_Seed36003_Strain0p6_NumberOfCells85,0.6,160.9,85,8.382510857855288e-06,0.08080892264842987,0.03578605875372887,845.2196044921875
18,DisTest_Seed36003_Strain0p3_NumberOfCells6,0.3,52.4,6,2.028289845615708e-05,0.03582117334008217,0.010856661014258862,253.81581115722656
19,DisTest_Seed71034_Strain0p9_NumberOfCells85,0.9,160.9,85,8.382510857855288e-06,0.23327481746673584,0.12985587120056152,1052.5489501953125
20,DisTest_Seed61442_Strain0p6_NumberOfCells688,0.6,287.7,688,4.174946877111681e-06,0.038571760058403015,0.03808004409074783,969.790283203125
21,DisTest_Seed256091_Strain0p9_NumberOfCells214,0.9,211.5,214,6.161822382742208e-06,0.138961061835289,0.1167919933795929,1225.318603515625
22,DisTest_Seed36003_Strain0p9_NumberOfCells46,0.9,131.4,46,1.0286346650611695e-05,0.23222260177135468,0.1902996152639389,1040.414306640625
23,DisTest_Seed256091_Strain0p3_NumberOfCells6,0.3,52.4,6,2.028289845615708e-05,0.024109816178679466,0.011138372123241425,293.4445495605469
24,DisTest_Seed256091_Strain0p3_NumberOfCells688,0.3,287.7,688,4.174946877111681e-06,0.004615305922925472,0.011016812175512314,279.07366943359375
25,DisTest_Seed783331_Strain0p3_NumberOfCells46,0.3,131.4,46,1.0286346650611695e-05,0.015439197421073914,0.009394925087690353,284.8464660644531
26,DisTest_Seed61442_Strain0p6_NumberOfCells214,0.6,211.5,214,6.161822382742208e-06,0.06597808748483658,0.04877205938100815,842.5300903320312
27,DisTest_Seed61442_Strain0p9_NumberOfCells6,0.9,52.4,6,2.028289845615708e-05,0.2665877640247345,0.18448226153850555,966.2857055664062
28,DisTest_Seed256091_Strain0p6_NumberOfCells46,0.6,131.4,46,1.0286346650611695e-05,0.10623115301132202,0.04171048477292061,724.74267578125
29,DisTest_Seed61442_Strain0p3_NumberOfCells46,0.3,131.4,46,1.0286346650611695e-05,0.02117960713803768,0.010271675884723663,266.3172302246094
30,DisTest_Seed36003_Strain0p3_NumberOfCells85,0.3,160.9,85,8.382510857855288e-06,0.012523269280791283,0.01057931687682867,268.3232116699219
31,DisTest_Seed71034_Strain0p6_NumberOfCells214,0.6,211.5,214,6.161822382742208e-06,0.060379039496183395,0.03777128830552101,778.6858520507812
32,DisTest_Seed783331_Strain0p9_NumberOfCells85,0.9,160.9,85,8.382510857855288e-06,0.1679888665676117,0.11136176437139511,1029.44775390625
33,DisTest_Seed61442_Strain0p6_NumberOfCells85,0.6,160.9,85,8.382510857855288e-06,0.06294045597314835,0.03759593516588211,753.983154296875
34,DisTest_Seed783331_Strain0p6_NumberOfCells46,0.6,131.4,46,1.0286346650611695e-05,0.07117339223623276,0.033804114907979965,746.0260009765625
35,DisTest_Seed36003_Strain0p6_NumberOfCells46,0.6,131.4,46,1.0286346650611695e-05,0.10792794823646545,0.06809605658054352,780.2994995117188
36,DisTest_Seed36003_Strain0p3_NumberOfCells688,0.3,287.7,688,4.174946877111681e-06,0.004293486941605806,0.012155762873589993,295.4249572753906
37,DisTest_Seed61442_Strain0p3_NumberOfCells214,0.3,211.5,214,6.161822382742208e-06,0.012263470329344273,0.0114586241543293,262.0223083496094
38,DisTest_Seed36003_Strain0p3_NumberOfCells214,0.3,211.5,214,6.161822382742208e-06,0.007833268493413925,0.010037940926849842,256.0796203613281
39,DisTest_Seed783331_Strain0p3_NumberOfCells688,0.3,287.7,688,4.174946877111681e-06,0.005293603986501694,0.010620715096592903,265.210693359375
